Year,County,Month,Male,Female,Unknown,Total
2020,Anne_Arundel,2,31,35,4,70
2020,Anne_Arundel,3,26,17,1,44
2020,Anne_Arundel,4,1,9,0,10
2020,Anne_Arundel,5,16,13,2,31
2020,Anne_Arundel,6,67,62,6,135
2018,Cecil,1,6,2,0,8
2018,Cecil,10,5,3,0,8
2018,Cecil,11,7,7,0,14
2018,Cecil,12,3,9,0,12
2018,Cecil,2,3,2,1,6
2018,Cecil,3,3,6,1,10
2018,Cecil,4,9,3,0,12
2018,Cecil,5,4,4,0,8
2018,Cecil,6,6,3,1,10
2018,Cecil,7,10,4,0,14
2018,Cecil,8,5,5,0,10
2018,Cecil,9,6,0,0,6
2019,Cecil,1,8,4,0,12
2019,Cecil,10,10,5,0,15
2019,Cecil,11,4,1,0,5
2019,Cecil,12,8,3,0,11
2019,Cecil,2,1,3,1,5
2019,Cecil,3,8,6,0,14
2019,Cecil,4,10,15,0,25
2019,Cecil,5,9,8,0,17
2019,Cecil,6,7,5,0,12
2019,Cecil,7,11,4,0,15
2019,Cecil,8,15,10,0,25
2019,Cecil,9,13,6,0,19
2020,Cecil,1,13,6,0,19
2020,Cecil,2,6,3,0,9
2020,Cecil,3,3,1,0,4
2020,Cecil,4,2,1,0,3
2020,Cecil,5,14,7,0,21
2020,Cecil,6,18,19,0,37
2018,Howard,1,17,9,0,26
2018,Howard,10,7,9,1,17
2018,Howard,11,10,10,0,20
2018,Howard,12,6,6,0,12
2018,Howard,2,10,13,0,23
2018,Howard,3,5,12,0,17
2018,Howard,4,10,7,0,17
2018,Howard,5,6,11,0,17
2018,Howard,6,9,4,0,13
2018,Howard,7,4,6,0,10
2018,Howard,8,7,9,0,16
2018,Howard,9,6,9,0,15
2019,Howard,1,18,19,0,37
2019,Howard,10,13,7,0,20
2019,Howard,11,6,9,0,15
2019,Howard,12,8,19,0,27
2019,Howard,2,7,14,0,21
2019,Howard,3,6,3,0,9
2019,Howard,4,12,16,0,28
2019,Howard,5,11,9,0,20
2019,Howard,6,12,5,1,18
2019,Howard,7,19,12,0,31
2019,Howard,8,6,12,1,19
2019,Howard,9,10,14,0,24
2020,Howard,1,17,16,0,33
2020,Howard,2,16,11,0,27
2020,Howard,3,14,13,0,27
2020,Howard,4,6,4,0,10
2020,Howard,5,5,6,0,11
2020,Howard,6,17,11,0,28
2018,Somerset,1,1,0,1,2
2018,Somerset,10,4,1,0,5
2018,Somerset,11,2,1,0,3
2018,Somerset,12,3,1,0,4
2018,Somerset,2,1,0,0,1
2018,Somerset,3,0,1,1,2
2018,Somerset,4,1,1,1,3
2018,Somerset,5,1,2,1,4
2018,Somerset,6,8,1,0,9
2018,Somerset,7,4,1,0,5
2018,Somerset,8,5,4,0,9
2018,Somerset,9,4,2,0,6
2019,Somerset,1,4,2,0,6
2019,Somerset,10,3,1,0,4
2019,Somerset,11,1,10,0,11
2019,Somerset,12,1,5,0,6
2019,Somerset,2,3,1,0,4
2019,Somerset,3,3,2,0,5
2019,Somerset,4,1,0,0,1
2019,Somerset,5,4,9,0,13
2019,Somerset,6,5,4,0,9
2019,Somerset,7,1,3,0,4
2019,Somerset,8,8,1,0,9
2019,Somerset,9,3,3,0,6
2020,Somerset,1,4,2,0,6
2020,Somerset,2,1,1,0,2
2020,Somerset,3,2,2,0,4
2020,Somerset,4,0,0,0,0
2020,Somerset,5,2,1,0,3
2020,Somerset,6,7,1,0,8
2018,Baltimore_City,1,42,69,2,113
2018,Baltimore_City,10,50,79,2,131
2018,Baltimore_City,11,60,55,3,118
2018,Baltimore_City,12,46,41,1,88
2018,Baltimore_City,2,52,41,1,94
2018,Baltimore_City,3,49,56,1,106
2018,Baltimore_City,4,47,56,0,103
2018,Baltimore_City,5,66,69,2,137
2018,Baltimore_City,6,66,63,0,129
2018,Baltimore_City,7,46,66,1,113
2018,Baltimore_City,8,54,86,0,140
2018,Baltimore_City,9,65,66,1,132
2019,Baltimore_City,1,44,43,2,89
2019,Baltimore_City,10,53,71,3,127
2019,Baltimore_City,11,31,58,0,89
2019,Baltimore_City,12,58,62,0,120
2019,Baltimore_City,2,38,39,3,80
2019,Baltimore_City,3,39,49,3,91
2019,Baltimore_City,4,66,46,4,116
2019,Baltimore_City,5,70,71,5,146
2019,Baltimore_City,6,54,60,4,118
2019,Baltimore_City,7,58,78,0,136
2019,Baltimore_City,8,65,61,2,128
2019,Baltimore_City,9,58,72,1,131
2020,Baltimore_City,1,57,67,2,126
2020,Baltimore_City,2,51,62,4,117
2020,Baltimore_City,3,34,35,1,70
2020,Baltimore_City,4,3,1,0,4
2020,Baltimore_City,5,0,0,0,0
2020,Baltimore_City,6,28,42,1,71
2018,Charles,1,8,11,3,22
2018,Charles,10,20,18,1,39
2018,Charles,11,19,22,0,41
2018,Charles,12,19,19,0,38
2018,Charles,2,11,13,3,27
2018,Charles,3,24,19,2,45
2018,Charles,4,20,16,5,41
2018,Charles,5,23,24,7,54
2018,Charles,6,17,31,2,50
2018,Charles,7,22,20,4,46
2018,Charles,8,21,24,3,48
2018,Charles,9,17,18,1,36
2019,Charles,1,32,25,2,59
2019,Charles,10,17,17,0,34
2019,Charles,11,20,21,0,41
2019,Charles,12,16,17,0,33
2019,Charles,2,15,16,2,33
2019,Charles,3,20,20,0,40
2019,Charles,4,22,37,1,60
2019,Charles,5,30,14,0,44
2019,Charles,6,28,24,0,52
2019,Charles,7,21,25,0,46
2019,Charles,8,15,21,0,36
2019,Charles,9,17,22,1,40
2020,Charles,1,27,28,0,55
2020,Charles,2,16,15,0,31
2020,Charles,3,11,8,1,20
2020,Charles,4,3,4,1,8
2020,Charles,5,19,18,0,37
2020,Charles,6,32,27,1,60
2018,Kent,1,0,0,0,0
2018,Kent,10,0,0,0,0
2018,Kent,11,1,1,0,2
2018,Kent,12,2,3,0,5
2018,Kent,2,0,0,0,0
2018,Kent,3,0,1,0,1
2018,Kent,4,0,0,0,0
2018,Kent,5,0,1,0,1
2018,Kent,6,1,1,0,2
2018,Kent,7,0,0,0,0
2018,Kent,8,1,1,0,2
2018,Kent,9,2,1,0,3
2019,Kent,1,0,0,0,0
2019,Kent,10,2,1,0,3
2019,Kent,11,0,5,0,5
2019,Kent,12,2,2,0,4
2019,Kent,2,0,1,0,1
2019,Kent,3,0,2,0,2
2019,Kent,4,1,1,0,2
2019,Kent,5,2,3,0,5
2019,Kent,6,1,5,0,6
2019,Kent,7,0,0,0,0
2019,Kent,8,6,2,0,8
2019,Kent,9,1,1,0,2
2020,Kent,1,0,1,0,1
2020,Kent,2,2,0,0,2
2020,Kent,3,0,0,0,0
2020,Kent,4,0,0,0,0
2020,Kent,5,0,0,0,0
2020,Kent,6,1,4,0,5
2018,Talbot,1,0,0,0,0
2018,Talbot,10,1,1,0,2
2018,Talbot,11,0,0,0,0
2018,Talbot,12,1,5,0,6
2018,Talbot,2,2,1,0,3
2018,Talbot,3,1,3,1,5
2018,Talbot,4,0,1,0,1
2018,Talbot,5,1,7,0,8
2018,Talbot,6,6,5,4,15
2018,Talbot,7,1,1,0,2
2018,Talbot,8,2,4,0,6
2018,Talbot,9,2,0,0,2
2019,Talbot,1,1,1,0,2
2019,Talbot,10,1,2,0,3
2019,Talbot,11,4,0,0,4
2019,Talbot,12,1,2,0,3
2019,Talbot,2,4,1,0,5
2019,Talbot,3,1,0,0,1
2019,Talbot,4,2,1,0,3
2019,Talbot,5,1,4,0,5
2019,Talbot,6,3,1,0,4
2019,Talbot,7,2,3,0,5
2019,Talbot,8,0,0,0,0
2019,Talbot,9,2,3,0,5
2020,Talbot,1,1,0,0,1
2020,Talbot,2,4,4,0,8
2020,Talbot,3,1,0,0,1
